"","ortho","freq","aoa.mean","aoa.sd","klatt","neighbors","degree","c"
"1","aardvark","0.41",9.89,3.66,"ardvark","",0,NA
"2","abacus","0.24",8.69,3.77,"@bxkxs","",0,NA
"3","abalone","0.51",12.23,3.54,"@bxloni","",0,NA
"4","abandon","8.1",8.32,2.75,"xb@nd|n","",0,NA
"5","abase","0.06",14.57,4.29,"xbes","xbet;xbIs;bes",3,0
"6","abate","0.1",14.44,3.57,"xbet","xbes;xbEt;xbWt;xb^t;xwet;bet",6,0.2
"7","abattoir","0.14",15.17,2.71,"@bxtwar","",0,NA
"8","abbacy","#N/A",14.5,0.71,"@bxsi","@bxs",1,NA
"9","abbess","0.04",15.43,2.37,"@bxs","@bxsi;@bxt;Ybxs",3,0
"10","abbey","3.18",13.06,3.59,"@bi","@li;@Si;k@bi;S@bi",4,0.333333333333333
"11","abbot","0.84",12.1,4.7,"@bxt","@bxs;@gxt",2,0
"12","abbreviate","0.02",9.95,2.07,"xbriviet","",0,NA
"13","abbreviation","0.24",9.11,2.37,"xbrivieS|n","",0,NA
"14","abdicate","0.18",12.6,3.18,"@bdIket","",0,NA
"15","abdication","0.12",14.94,3.59,"@bdIkeS|n","",0,NA
"16","abdomen","3.35",8.61,2.25,"@bdxmxn","",0,NA
"17","abdominal","3.41",10.24,3.6,"@bdamxnL","",0,NA
"18","abduct","0.71",11.26,4.03,"@bd^kt","",0,NA
"19","abeam","0.14",13.4,2.88,"xbim","bim",1,NA
"20","aberrant","0.29",13.31,3.5,"@bErxnt","",0,NA
"21","aberration","0.55",12.69,3.33,"@bXeS|n","@JXeS|n;@dXeS|n",2,1
"22","abet","0.1",12.15,3.31,"xbEt","xbet;xbWt;xb^t;bEt",4,0.5
"23","abeyance","0.04",15,2.58,"xbexns","",0,NA
"24","abhor","0.24",13.76,3.27,"xbhor","",0,NA
"25","abide","2.71",9.5,3.11,"xbYd","xbod;xlYd;xsYd;bYd",4,0.166666666666667
"26","ability","19.22",8.84,3.22,"xbIl|ti","xJIl|ti",1,NA
"27","abject","0.39",14,4.41,"@bJEkt","abJEkt",1,NA
"28","abjuration","#N/A",17.12,2.59,"@bJxreS|n","",0,NA
"29","abjure","0.02",14.6,3.66,"@bJUr","",0,NA
"30","ablaze","0.41",10.83,2.68,"xblez","blez",1,NA
"31","able","159.9",7.79,3.31,"ebL","enL;kebL;febL;gebL;lebL;sebL;tebL",7,0.714285714285714
"32","ablution","0.06",13.64,3.41,"xbluS|n","",0,NA
"33","abnormal","2.9",10.05,2.61,"@bnormL","",0,NA
